Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Surf Variety Pack 12pk,$17.49,12 servings per container,1 can (355 ml),100,"Citrus Yuzu  Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Lemon Juice Concentrate, Sodium Citrate., Tropical Pomelo  Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Grapefruit Juice Concentrate, Sodium Citrate., Watermelon Lime  Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Watermelon Juiice Concentrate, Sodium Citrate., Wildberry Acai  Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Natural Blackberry Juice Concentrate, Sodium Citrate.",Unknown
Strawberry Rhubarb Hard Cider 6pk Cans,$12.49,72 oz,12 oz (355 ml),140," Ny Hard Cider, Blueberry Concentrate, Raspberry Concentrate, Blackberry Concentrate, Natural Flavors, Sulfites (To Preserve Freshness) Carbon Dioxide",Unknown
Three Philosophers,$12.49,Unknown,Unknown,Unknown,Unknown,Unknown
Dry Rose Cider,$3.99,12 fl oz,1 bottle (355 ml),160,"Hard Cider from Apples, Carbon Dioxide, Malic Acid, Sugar, Sulfites To Preserve Freshness, Organic Color Added",Unknown
Blue Moon Belgian White,$1.99,12 fl oz,12 fl oz (355 ml),168,Belgian-style Wheat Ale Brewed With Coriander & Orange Peel,Wheat
Another One Beer,$7.99,Unknown,Unknown,Unknown,Unknown,Unknown
Weihenstephaner,$4.49,Unknown,Unknown,Unknown,Unknown,Unknown
Original Dry Cider 19.2oz Can,$3.99,1 servings per container,19 fl oz (568 ml),230," Hard Apple Cider, Filtered Water, Cane Sugar, Brown Sugar, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide",Unknown
Vitus 6pk,$13.49,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Trappist No.6,$6.99,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Premium Ale,$4.49,Unknown,Unknown,Unknown,Unknown,Unknown
Blood Orange,$3.99,19.2 fl oz,19 fl oz (568 ml),240," Hard Apple Cider, Filtered Water, Blood Orange Concentrate, Cane Sugar, Brown Sugar, Whole Blood Orange Puree, Malic Acid, Red Raspberry Concentrate, Sulfites (To Preserve Freshness), Carbon Dioxide",Unknown
Signature Cider 4pk Can,$10.49,48 fl oz,Unknown,Unknown,Unknown,Unknown
Woods And Waters Ipa Single,$7.99,Unknown,Unknown,Unknown,Unknown,Unknown
Boogie Down Set,$21.49,144 fl oz,Unknown,Unknown,Unknown,Unknown
